,event_type,time_stamp,node
0,4,0,404
1,0,0,381
2,6,1,263
3,0,1,263
4,2,1,263
5,2,1,263
6,0,1,141
7,2,2,141
8,3,2,66
9,2,2,141
10,20,2,59
11,20,2,283
12,7,2,283
13,8,2,283
14,5,2,59
15,7,2,283
16,5,2,59
17,3,2,66
18,3,3,66
19,3,3,66
20,4,4,406
21,1,4,235
22,3,4,235
23,3,4,455
24,1,4,455
25,4,5,404
26,0,5,381
27,6,6,263
28,0,6,263
29,3,6,66
30,1,6,31
31,3,6,31
32,2,6,263
33,1,6,342
34,3,6,342
35,1,6,61
36,3,6,61
37,3,7,66
38,0,7,141
39,2,7,263
40,2,7,141
41,3,7,66
42,2,8,141
43,3,8,66
44,3,8,66
45,3,9,66
46,4,9,406
47,3,10,66
48,3,10,66
49,4,11,404
50,3,11,66
51,0,11,381
52,4,11,404
53,6,11,263
54,0,11,263
55,0,12,263
56,2,12,263
57,2,12,263
58,0,12,141
59,5,12,457
60,10,12,457
61,2,12,141
62,2,13,141
63,10,13,457
64,4,15,406
65,4,16,404
66,0,16,381
67,4,16,404
68,6,17,263
69,0,17,263
70,2,17,263
71,2,17,263
72,0,18,141
73,2,18,141
74,2,18,141
75,18,18,298
76,0,20,224
77,4,20,406
78,2,21,224
79,1,21,455
80,3,21,455
81,1,21,235
82,3,21,235
83,0,22,381
84,4,22,404
85,4,22,404
86,4,22,404
87,6,22,263
88,0,22,263
89,2,22,263
90,3,22,31
91,1,22,31
92,3,23,342
93,1,23,342
94,1,23,61
95,3,23,61
96,0,23,141
97,2,23,263
98,2,23,141
99,1,24,70
100,3,24,70
101,1,24,121
102,3,24,121
103,3,24,462
104,1,24,462
105,1,24,296
106,3,24,296
107,1,24,394
108,3,24,38
109,3,24,394
110,1,24,38
111,3,24,173
112,1,24,173
113,2,24,141
114,3,24,205
115,3,24,42
116,1,24,42
117,1,24,205
118,3,24,463
119,1,24,463
120,4,25,110
121,1,25,197
122,3,25,197
123,4,26,406
124,0,27,381
125,4,27,404
126,6,28,263
127,0,28,263
128,4,28,404
129,2,28,263
130,2,28,263
131,0,28,141
132,2,29,141
133,2,29,141
134,4,31,406
135,0,32,381
136,8,32,348
137,5,33,324
138,9,33,348
139,9,33,324
140,7,33,348
141,4,33,404
142,8,33,348
143,7,33,348
144,6,33,263
145,0,33,263
146,4,33,404
147,2,33,263
148,0,34,141
149,13,36,55
150,2,36,55
151,0,37,445
152,4,37,406
153,0,38,381
154,4,38,404
155,6,38,263
