,Variable 0,Variable 1,Variable 2,Variable 3
0,307.0,130.0,3504.0,18.0
1,350.0,165.0,3693.0,15.0
2,318.0,150.0,3436.0,18.0
3,304.0,150.0,3433.0,16.0
4,302.0,140.0,3449.0,17.0
5,429.0,198.0,4341.0,15.0
6,454.0,220.0,4354.0,14.0
7,440.0,215.0,4312.0,14.0
8,455.0,225.0,4425.0,14.0
9,390.0,190.0,3850.0,15.0
10,383.0,170.0,3563.0,15.0
11,340.0,160.0,3609.0,14.0
12,400.0,150.0,3761.0,15.0
13,455.0,225.0,3086.0,14.0
14,113.0,95.0,2372.0,24.0
15,198.0,95.0,2833.0,22.0
16,199.0,97.0,2774.0,18.0
17,200.0,85.0,2587.0,21.0
18,97.0,88.0,2130.0,27.0
19,97.0,46.0,1835.0,26.0
20,110.0,87.0,2672.0,25.0
21,107.0,90.0,2430.0,24.0
22,104.0,95.0,2375.0,25.0
23,121.0,113.0,2234.0,26.0
24,199.0,90.0,2648.0,21.0
25,360.0,215.0,4615.0,10.0
26,307.0,200.0,4376.0,10.0
27,318.0,210.0,4382.0,11.0
28,304.0,193.0,4732.0,9.0
29,97.0,88.0,2130.0,27.0
30,140.0,90.0,2264.0,28.0
31,113.0,95.0,2228.0,25.0
32,98.0,0.0,2046.0,25.0
33,232.0,100.0,2634.0,19.0
34,225.0,105.0,3439.0,16.0
35,250.0,100.0,3329.0,17.0
36,250.0,88.0,3302.0,19.0
37,232.0,100.0,3288.0,18.0
38,350.0,165.0,4209.0,14.0
39,400.0,175.0,4464.0,14.0
40,351.0,153.0,4154.0,14.0
41,318.0,150.0,4096.0,14.0
42,383.0,180.0,4955.0,12.0
43,400.0,170.0,4746.0,13.0
44,400.0,175.0,5140.0,13.0
45,258.0,110.0,2962.0,18.0
46,140.0,72.0,2408.0,22.0
47,250.0,100.0,3282.0,19.0
48,250.0,88.0,3139.0,18.0
49,122.0,86.0,2220.0,23.0
50,116.0,90.0,2123.0,28.0
51,79.0,70.0,2074.0,30.0
52,88.0,76.0,2065.0,30.0
53,71.0,65.0,1773.0,31.0
54,72.0,69.0,1613.0,35.0
55,97.0,60.0,1834.0,27.0
56,91.0,70.0,1955.0,26.0
57,113.0,95.0,2278.0,24.0
58,97.5,80.0,2126.0,25.0
59,97.0,54.0,2254.0,23.0
60,140.0,90.0,2408.0,20.0
61,122.0,86.0,2226.0,21.0
62,350.0,165.0,4274.0,13.0
63,400.0,175.0,4385.0,14.0
64,318.0,150.0,4135.0,15.0
65,351.0,153.0,4129.0,14.0
66,304.0,150.0,3672.0,17.0
67,429.0,208.0,4633.0,11.0
68,350.0,155.0,4502.0,13.0
69,350.0,160.0,4456.0,12.0
70,400.0,190.0,4422.0,13.0
71,70.0,97.0,2330.0,19.0
72,304.0,150.0,3892.0,15.0
73,307.0,130.0,4098.0,13.0
74,302.0,140.0,4294.0,13.0
75,318.0,150.0,4077.0,14.0
76,121.0,112.0,2933.0,18.0
77,121.0,76.0,2511.0,22.0
78,120.0,87.0,2979.0,21.0
79,96.0,69.0,2189.0,26.0
80,122.0,86.0,2395.0,22.0
81,97.0,92.0,2288.0,28.0
82,120.0,97.0,2506.0,23.0
83,98.0,80.0,2164.0,28.0
84,97.0,88.0,2100.0,27.0
85,350.0,175.0,4100.0,13.0
86,304.0,150.0,3672.0,14.0
87,350.0,145.0,3988.0,13.0
88,302.0,137.0,4042.0,14.0
89,318.0,150.0,3777.0,15.0
90,429.0,198.0,4952.0,12.0
91,400.0,150.0,4464.0,13.0
92,351.0,158.0,4363.0,13.0
93,318.0,150.0,4237.0,14.0
94,440.0,215.0,4735.0,13.0
95,455.0,225.0,4951.0,12.0
96,360.0,175.0,3821.0,13.0
97,225.0,105.0,3121.0,18.0
98,250.0,100.0,3278.0,16.0
99,232.0,100.0,2945.0,18.0
100,250.0,88.0,3021.0,18.0
101,198.0,95.0,2904.0,23.0
102,97.0,46.0,1950.0,26.0
103,400.0,150.0,4997.0,11.0
104,400.0,167.0,4906.0,12.0
105,360.0,170.0,4654.0,13.0
106,350.0,180.0,4499.0,12.0
107,232.0,100.0,2789.0,18.0
108,97.0,88.0,2279.0,20.0
109,140.0,72.0,2401.0,21.0
110,108.0,94.0,2379.0,22.0
111,70.0,90.0,2124.0,18.0
112,122.0,85.0,2310.0,19.0
113,155.0,107.0,2472.0,21.0
114,98.0,90.0,2265.0,26.0
115,350.0,145.0,4082.0,15.0
116,400.0,230.0,4278.0,16.0
117,68.0,49.0,1867.0,29.0
118,116.0,75.0,2158.0,24.0
119,114.0,91.0,2582.0,20.0
120,121.0,112.0,2868.0,19.0
121,318.0,150.0,3399.0,15.0
122,121.0,110.0,2660.0,24.0
123,156.0,122.0,2807.0,20.0
124,350.0,180.0,3664.0,11.0
125,198.0,95.0,3102.0,20.0
126,200.0,0.0,2875.0,21.0
127,232.0,100.0,2901.0,19.0
128,250.0,100.0,3336.0,15.0
129,79.0,67.0,1950.0,31.0
130,122.0,80.0,2451.0,26.0
131,71.0,65.0,1836.0,32.0
132,140.0,75.0,2542.0,25.0
133,250.0,100.0,3781.0,16.0
134,258.0,110.0,3632.0,16.0
135,225.0,105.0,3613.0,18.0
136,302.0,140.0,4141.0,16.0
137,350.0,150.0,4699.0,13.0
138,318.0,150.0,4457.0,14.0
139,302.0,140.0,4638.0,14.0
140,304.0,150.0,4257.0,14.0
141,98.0,83.0,2219.0,29.0
142,79.0,67.0,1963.0,26.0
143,97.0,78.0,2300.0,26.0
144,76.0,52.0,1649.0,31.0
145,83.0,61.0,2003.0,32.0
146,90.0,75.0,2125.0,28.0
147,90.0,75.0,2108.0,24.0
148,116.0,75.0,2246.0,26.0
149,120.0,97.0,2489.0,24.0
150,108.0,93.0,2391.0,26.0
151,79.0,67.0,2000.0,31.0
152,225.0,95.0,3264.0,19.0
153,250.0,105.0,3459.0,18.0
154,250.0,72.0,3432.0,15.0
155,250.0,72.0,3158.0,15.0
156,400.0,170.0,4668.0,16.0
157,350.0,145.0,4440.0,15.0
158,318.0,150.0,4498.0,16.0
159,351.0,148.0,4657.0,14.0
160,231.0,110.0,3907.0,17.0
161,250.0,105.0,3897.0,16.0
162,258.0,110.0,3730.0,15.0
163,225.0,95.0,3785.0,18.0
164,231.0,110.0,3039.0,21.0
165,262.0,110.0,3221.0,20.0
166,302.0,129.0,3169.0,13.0
167,97.0,75.0,2171.0,29.0
168,140.0,83.0,2639.0,23.0
169,232.0,100.0,2914.0,20.0
170,140.0,78.0,2592.0,23.0
171,134.0,96.0,2702.0,24.0
172,90.0,71.0,2223.0,25.0
173,119.0,97.0,2545.0,24.0
174,171.0,97.0,2984.0,18.0
175,90.0,70.0,1937.0,29.0
176,232.0,90.0,3211.0,19.0
177,115.0,95.0,2694.0,23.0
178,120.0,88.0,2957.0,23.0
179,121.0,98.0,2945.0,22.0
180,121.0,115.0,2671.0,25.0
181,91.0,53.0,1795.0,33.0
182,107.0,86.0,2464.0,28.0
183,116.0,81.0,2220.0,25.0
184,140.0,92.0,2572.0,25.0
185,98.0,79.0,2255.0,26.0
186,101.0,83.0,2202.0,27.0
187,305.0,140.0,4215.0,17.5
188,318.0,150.0,4190.0,16.0
189,304.0,120.0,3962.0,15.5
190,351.0,152.0,4215.0,14.5
191,225.0,100.0,3233.0,22.0
192,250.0,105.0,3353.0,22.0
193,200.0,81.0,3012.0,24.0
194,232.0,90.0,3085.0,22.5
195,85.0,52.0,2035.0,29.0
196,98.0,60.0,2164.0,24.5
197,90.0,70.0,1937.0,29.0
198,91.0,53.0,1795.0,33.0
199,225.0,100.0,3651.0,20.0
200,250.0,78.0,3574.0,18.0
201,250.0,110.0,3645.0,18.5
202,258.0,95.0,3193.0,17.5
203,97.0,71.0,1825.0,29.5
204,85.0,70.0,1990.0,32.0
205,97.0,75.0,2155.0,28.0
206,140.0,72.0,2565.0,26.5
207,130.0,102.0,3150.0,20.0
208,318.0,150.0,3940.0,13.0
209,120.0,88.0,3270.0,19.0
210,156.0,108.0,2930.0,19.0
211,168.0,120.0,3820.0,16.5
212,350.0,180.0,4380.0,16.5
213,350.0,145.0,4055.0,13.0
214,302.0,130.0,3870.0,13.0
215,318.0,150.0,3755.0,13.0
216,98.0,68.0,2045.0,31.5
217,111.0,80.0,2155.0,30.0
218,79.0,58.0,1825.0,36.0
219,122.0,96.0,2300.0,25.5
220,85.0,70.0,1945.0,33.5
221,305.0,145.0,3880.0,17.5
222,260.0,110.0,4060.0,17.0
223,318.0,145.0,4140.0,15.5
224,302.0,130.0,4295.0,15.0
225,250.0,110.0,3520.0,17.5
226,231.0,105.0,3425.0,20.5
227,225.0,100.0,3630.0,19.0
228,250.0,98.0,3525.0,18.5
229,400.0,180.0,4220.0,16.0
230,350.0,170.0,4165.0,15.5
231,400.0,190.0,4325.0,15.5
232,351.0,149.0,4335.0,16.0
233,97.0,78.0,1940.0,29.0
234,151.0,88.0,2740.0,24.5
235,97.0,75.0,2265.0,26.0
236,140.0,89.0,2755.0,25.5
237,98.0,63.0,2051.0,30.5
238,98.0,83.0,2075.0,33.5
239,97.0,67.0,1985.0,30.0
240,97.0,78.0,2190.0,30.5
241,146.0,97.0,2815.0,22.0
242,121.0,110.0,2600.0,21.5
243,80.0,110.0,2720.0,21.5
244,90.0,48.0,1985.0,43.1
245,98.0,66.0,1800.0,36.1
246,78.0,52.0,1985.0,32.8
247,85.0,70.0,2070.0,39.4
248,91.0,60.0,1800.0,36.1
249,260.0,110.0,3365.0,19.9
250,318.0,140.0,3735.0,19.4
251,302.0,139.0,3570.0,20.2
252,231.0,105.0,3535.0,19.2
253,200.0,95.0,3155.0,20.5
254,200.0,85.0,2965.0,20.2
255,140.0,88.0,2720.0,25.1
256,225.0,100.0,3430.0,20.5
257,232.0,90.0,3210.0,19.4
258,231.0,105.0,3380.0,20.6
259,200.0,85.0,3070.0,20.8
260,225.0,110.0,3620.0,18.6
261,258.0,120.0,3410.0,18.1
262,305.0,145.0,3425.0,19.2
263,231.0,165.0,3445.0,17.7
264,302.0,139.0,3205.0,18.1
265,318.0,140.0,4080.0,17.5
266,98.0,68.0,2155.0,30.0
267,134.0,95.0,2560.0,27.5
268,119.0,97.0,2300.0,27.2
269,105.0,75.0,2230.0,30.9
270,134.0,95.0,2515.0,21.1
271,156.0,105.0,2745.0,23.2
272,151.0,85.0,2855.0,23.8
273,119.0,97.0,2405.0,23.9
274,131.0,103.0,2830.0,20.3
275,163.0,125.0,3140.0,17.0
276,121.0,115.0,2795.0,21.6
277,163.0,133.0,3410.0,16.2
278,89.0,71.0,1990.0,31.5
279,98.0,68.0,2135.0,29.5
280,231.0,115.0,3245.0,21.5
281,200.0,85.0,2990.0,19.8
282,140.0,88.0,2890.0,22.3
283,232.0,90.0,3265.0,20.2
284,225.0,110.0,3360.0,20.6
285,305.0,130.0,3840.0,17.0
286,302.0,129.0,3725.0,17.6
287,351.0,138.0,3955.0,16.5
288,318.0,135.0,3830.0,18.2
289,350.0,155.0,4360.0,16.9
290,351.0,142.0,4054.0,15.5
291,267.0,125.0,3605.0,19.2
292,360.0,150.0,3940.0,18.5
293,89.0,71.0,1925.0,31.9
294,86.0,65.0,1975.0,34.1
295,98.0,80.0,1915.0,35.7
296,121.0,80.0,2670.0,27.4
297,183.0,77.0,3530.0,25.4
298,350.0,125.0,3900.0,23.0
299,141.0,71.0,3190.0,27.2
300,260.0,90.0,3420.0,23.9
301,105.0,70.0,2200.0,34.2
302,105.0,70.0,2150.0,34.5
303,85.0,65.0,2020.0,31.8
304,91.0,69.0,2130.0,37.3
305,151.0,90.0,2670.0,28.4
306,173.0,115.0,2595.0,28.8
307,173.0,115.0,2700.0,26.8
308,151.0,90.0,2556.0,33.5
309,98.0,76.0,2144.0,41.5
310,89.0,60.0,1968.0,38.1
311,98.0,70.0,2120.0,32.1
312,86.0,65.0,2019.0,37.2
313,151.0,90.0,2678.0,28.0
314,140.0,88.0,2870.0,26.4
315,151.0,90.0,3003.0,24.3
316,225.0,90.0,3381.0,19.1
317,97.0,78.0,2188.0,34.3
318,134.0,90.0,2711.0,29.8
319,120.0,75.0,2542.0,31.3
320,119.0,92.0,2434.0,37.0
321,108.0,75.0,2265.0,32.2
322,86.0,65.0,2110.0,46.6
323,156.0,105.0,2800.0,27.9
324,85.0,65.0,2110.0,40.8
325,90.0,48.0,2085.0,44.3
326,90.0,48.0,2335.0,43.4
327,121.0,67.0,2950.0,36.4
328,146.0,67.0,3250.0,30.0
329,91.0,67.0,1850.0,44.6
330,85.0,0.0,1835.0,40.9
331,97.0,67.0,2145.0,33.8
332,89.0,62.0,1845.0,29.8
333,168.0,132.0,2910.0,32.7
334,70.0,100.0,2420.0,23.7
335,122.0,88.0,2500.0,35.0
336,140.0,0.0,2905.0,23.6
337,107.0,72.0,2290.0,32.4
338,135.0,84.0,2490.0,27.2
339,151.0,84.0,2635.0,26.6
340,156.0,92.0,2620.0,25.8
341,173.0,110.0,2725.0,23.5
342,135.0,84.0,2385.0,30.0
343,79.0,58.0,1755.0,39.1
344,86.0,64.0,1875.0,39.0
345,81.0,60.0,1760.0,35.1
346,97.0,67.0,2065.0,32.3
347,85.0,65.0,1975.0,37.0
348,89.0,62.0,2050.0,37.7
349,91.0,68.0,1985.0,34.1
350,105.0,63.0,2215.0,34.7
351,98.0,65.0,2045.0,34.4
352,98.0,65.0,2380.0,29.9
353,105.0,74.0,2190.0,33.0
354,100.0,0.0,2320.0,34.5
355,107.0,75.0,2210.0,33.7
356,108.0,75.0,2350.0,32.4
357,119.0,100.0,2615.0,32.9
358,120.0,74.0,2635.0,31.6
359,141.0,80.0,3230.0,28.1
360,145.0,76.0,3160.0,30.7
361,168.0,116.0,2900.0,25.4
362,146.0,120.0,2930.0,24.2
363,231.0,110.0,3415.0,22.4
364,350.0,105.0,3725.0,26.6
365,200.0,88.0,3060.0,20.2
366,225.0,85.0,3465.0,17.6
367,112.0,88.0,2605.0,28.0
368,112.0,88.0,2640.0,27.0
369,112.0,88.0,2395.0,34.0
370,112.0,85.0,2575.0,31.0
371,135.0,84.0,2525.0,29.0
372,151.0,90.0,2735.0,27.0
373,140.0,92.0,2865.0,24.0
374,151.0,0.0,3035.0,23.0
375,105.0,74.0,1980.0,36.0
