,Variable 0,Variable 1,Variable 2,Variable 3
0,4.3,642.1,21.6,109.7
1,3.8,600.6,23.1,124.8
2,4.2,604.2,25.1,127.4
3,4.3,560.9,25.8,116.0
4,3.6,573.8,25.9,109.9
5,5.2,540.4,24.9,98.8
6,6.5,601.5,24.4,79.6
7,5.2,658.9,24.5,80.5
8,5.4,654.8,25.5,106.9
9,3.3,655.4,25.0,94.7
10,2.7,613.1,26.0,86.8
11,3.1,535.4,24.9,91.9
12,2.7,605.0,25.0,97.4
13,1.9,585.4,16.9,124.0
14,2.0,415.2,18.7,104.6
15,2.4,466.6,18.6,111.6
16,1.4,230.3,13.6,76.6
17,4.1,540.5,15.6,120.9
18,4.8,319.8,13.0,76.0
19,2.9,397.9,15.2,94.8
20,5.3,482.8,15.2,81.2
21,4.0,511.0,16.4,97.5
22,2.2,591.4,20.9,124.3
23,2.7,575.6,24.8,138.2
24,2.9,350.5,20.3,94.2
25,2.6,590.4,27.8,125.0
26,2.7,532.4,28.4,201.6
27,1.8,135.7,19.1,53.8
28,2.9,67.9,14.5,44.4
29,1.7,382.9,21.7,114.7
30,1.5,515.7,26.0,187.6
31,2.0,522.5,28.4,173.7
32,2.9,491.5,25.7,104.0
33,2.4,209.5,20.5,55.2
34,2.5,569.9,24.1,106.5
35,3.7,516.8,23.2,88.4
36,4.1,359.0,17.7,40.3
37,3.3,572.1,20.3,73.5
38,4.3,486.9,21.8,57.2
39,3.2,612.8,20.3,47.9
40,4.0,209.7,17.0,37.5
41,2.1,602.8,21.5,68.4
42,1.8,679.5,24.2,76.5
43,1.9,586.4,27.7,91.4
44,2.1,606.5,29.9,138.5
45,2.0,445.4,26.8,86.9
46,2.4,319.1,25.4,74.0
47,1.9,246.4,21.6,43.3
48,2.9,463.5,23.8,113.3
49,2.8,378.8,24.1,76.7
50,3.0,571.6,22.7,54.8
51,2.6,565.7,25.0,69.0
52,4.4,375.0,25.0,54.1
53,4.7,313.9,17.3,36.5
54,3.9,216.7,13.5,27.2
55,4.3,285.1,14.1,39.5
56,3.9,506.9,18.1,44.7
57,2.8,330.1,21.0,58.9
58,1.2,542.1,23.9,89.7
59,1.1,249.1,21.2,82.3
60,3.3,442.9,25.1,93.6
61,4.7,352.2,21.0,74.6
62,1.6,362.8,21.3,71.7
63,3.5,446.1,23.8,74.1
64,4.5,308.6,21.8,55.3
65,1.5,494.2,25.4,83.9
66,2.5,475.0,25.3,83.8
67,2.0,583.4,29.6,101.8
68,2.3,535.0,32.9,117.4
69,2.3,498.5,24.4,77.2
70,2.2,520.6,24.6,80.1
71,4.1,520.4,27.3,95.6
72,1.3,560.6,28.1,113.9
73,1.5,508.1,30.2,109.5
74,2.8,489.5,28.7,139.3
75,2.8,411.3,24.0,73.5
76,2.0,528.1,24.6,125.4
77,3.4,190.5,20.4,74.8
78,1.4,115.4,16.8,33.3
79,7.0,310.8,18.9,72.0
80,5.4,253.4,14.1,44.1
81,3.4,246.9,14.7,44.2
82,1.5,426.9,18.7,91.6
83,2.1,538.1,21.2,94.3
84,1.8,412.5,21.4,98.2
85,1.6,86.5,13.7,21.5
86,3.3,185.8,14.6,53.5
87,1.1,178.7,15.0,27.9
88,3.9,483.4,20.9,73.1
89,4.0,497.4,21.9,72.6
90,2.0,409.8,20.6,71.8
91,0.6,290.3,20.1,57.3
92,3.4,426.5,23.6,78.6
93,1.4,332.1,20.5,53.6
94,2.4,261.8,18.0,44.5
95,6.0,282.8,17.8,49.6
96,5.9,62.9,14.7,31.9
97,5.0,312.9,21.7,40.4
98,1.7,442.1,24.7,71.8
99,1.5,409.1,26.6,75.0
100,3.0,311.7,24.1,49.4
101,2.3,391.8,24.2,72.2
102,2.3,206.2,21.2,36.6
103,1.0,245.6,21.0,49.4
104,4.2,68.6,16.1,15.8
105,1.8,129.4,14.1,12.9
106,2.0,262.2,16.5,13.5
107,1.0,273.5,15.8,39.9
108,4.0,264.5,14.0,28.2
109,1.7,202.5,13.1,12.6
110,2.8,216.5,14.0,27.5
111,2.2,182.2,13.4,18.5
112,2.6,153.4,15.4,17.1
113,3.1,120.2,12.8,9.6
114,2.7,275.5,14.6,28.2
115,3.2,383.1,15.0,39.2
116,1.1,351.6,15.9,20.3
117,2.1,63.1,11.1,4.0
118,3.8,211.3,12.0,34.6
119,3.3,95.7,9.2,22.5
120,3.0,87.7,8.8,1.1
121,2.9,102.4,9.4,10.9
122,4.3,26.5,9.0,11.8
123,3.5,157.7,13.0,15.8
124,2.0,138.2,13.5,9.6
125,3.5,75.9,11.8,22.5
126,3.3,166.3,10.5,28.3
127,1.1,300.5,11.5,18.2
128,1.1,298.9,13.1,4.0
129,0.9,257.8,13.1,4.6
130,0.9,212.8,14.9,7.1
131,3.3,59.7,13.5,5.0
132,4.9,219.1,20.5,30.8
133,1.4,283.6,20.6,38.3
134,1.1,255.3,19.0,11.6
135,1.9,243.3,18.6,30.6
136,1.1,238.4,18.2,24.2
137,1.0,231.5,17.3,20.7
138,1.1,242.1,17.3,4.4
139,1.4,172.6,13.3,11.1
140,5.0,86.4,12.4,36.9
141,7.4,77.8,15.0,23.6
142,4.4,45.5,13.1,13.1
143,1.61,589.65,25.45,160.53
144,4.95,272.76,15.65,67.47
145,4.81,364.69,16.53,72.75
146,5.75,444.24,16.37,79.65
147,2.08,527.88,18.98,69.94
148,1.88,205.12,15.22,54.18
149,2.75,201.88,17.17,42.53
150,3.14,303.12,13.92,52.5
151,3.35,498.59,14.58,69.71
152,3.41,178.0,12.79,59.06
153,2.54,356.2,16.13,67.8
154,3.82,240.35,16.61,55.71
155,2.82,107.12,12.49,10.56
156,1.78,179.12,14.25,38.71
157,2.83,219.12,15.89,28.88
158,2.17,391.29,18.99,95.65
159,1.96,604.29,23.53,135.59
160,3.1,394.0,20.45,101.88
161,2.11,622.59,26.57,119.24
162,2.22,115.53,17.21,30.24
163,2.24,476.65,20.18,65.29
164,5.38,306.71,16.12,49.19
165,5.06,551.65,19.02,69.69
166,1.85,422.24,18.39,62.88
167,2.11,660.53,24.93,120.3
168,3.68,640.82,29.62,113.06
169,2.56,330.59,25.71,104.5
170,2.45,489.06,23.73,99.06
171,2.94,489.12,28.15,105.44
172,2.0,529.41,27.34,120.88
173,6.79,475.29,19.51,71.35
174,2.61,507.47,19.81,73.88
175,3.21,90.76,13.97,23.94
176,2.45,387.71,19.22,92.88
177,5.03,136.59,15.59,28.82
178,6.72,301.35,15.49,53.24
179,2.82,146.35,14.52,53.12
180,4.71,190.88,18.25,26.24
181,4.72,153.71,20.02,33.29
182,4.44,336.47,15.14,52.65
183,1.64,584.59,19.85,75.0
184,3.99,635.18,24.89,109.56
185,3.24,599.47,27.74,138.25
186,4.52,646.59,22.77,92.88
187,2.07,660.41,25.65,111.75
188,3.18,566.82,26.99,154.44
189,3.64,401.94,22.01,87.81
190,2.8,319.19,18.25,50.4
191,2.01,606.53,22.12,95.41
